team.home,away.team,H_buildUpPlaySpeedClass,H_buildUpPlayDribblingClass,H_buildUpPlayPassingClass,H_buildUpPlayPositioningClass,H_chanceCreationPassingClass,H_chanceCreationCrossingClass,H_chanceCreationShootingClass,H_chanceCreationPositioningClass,H_defencePressureClass,H_defenceAggressionClass,H_defenceTeamWidthClass,A_buildUpPlaySpeedClass,A_buildUpPlayDribblingClass,A_buildUpPlayPassingClass,A_buildUpPlayPositioningClass,A_chanceCreationPassingClass,A_chanceCreationCrossingClass,A_chanceCreationShootingClass,A_chanceCreationPositioningClass,A_defencePressureClass,A_defenceAggressionClass,A_defenceTeamWidthClass,result
Tottenham Hotspur,Everton,Fast,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Balanced,Little,Mixed,Organised,Normal,Lots,Normal,Organised,Medium,Double,Normal,win
Arsenal,Burnley,Balanced,Little,Short,Free Form,Safe,Normal,Normal,Free Form,Deep,Press,Normal,Fast,Little,Mixed,Organised,Risky,Lots,Lots,Organised,Medium,Double,Wide,win
West Ham United,Bolton Wanderers,Balanced,Little,Short,Organised,Safe,Lots,Normal,Organised,Deep,Double,Narrow,Balanced,Little,Long,Organised,Risky,Lots,Normal,Organised,Medium,Double,Normal,lose
Wolverhampton Wanderers,Manchester United,Fast,Little,Long,Organised,Risky,Lots,Lots,Organised,High,Double,Wide,Fast,Little,Mixed,Organised,Normal,Lots,Normal,Free Form,Medium,Press,Normal,lose
Everton,Hull City,Balanced,Little,Mixed,Organised,Normal,Lots,Normal,Organised,Medium,Double,Normal,Balanced,Little,Mixed,Organised,Risky,Lots,Normal,Organised,High,Double,Wide,win
Wigan Athletic,Liverpool,Fast,Little,Long,Organised,Risky,Lots,Normal,Organised,Medium,Double,Normal,Balanced,Little,Mixed,Organised,Normal,Normal,Lots,Organised,Medium,Press,Normal,win
Portsmouth,Birmingham City,Fast,Little,Long,Organised,Risky,Lots,Normal,Organised,Medium,Double,Normal,Fast,Little,Long,Organised,Risky,Lots,Lots,Organised,High,Double,Wide,lose
Sunderland,Bolton Wanderers,Balanced,Little,Long,Organised,Risky,Lots,Normal,Organised,Medium,Double,Normal,Balanced,Little,Long,Organised,Risky,Lots,Normal,Organised,Medium,Double,Normal,win
Burnley,Stoke City,Fast,Little,Mixed,Organised,Risky,Lots,Lots,Organised,Medium,Double,Wide,Balanced,Little,Long,Organised,Risky,Lots,Normal,Organised,Medium,Double,Normal,draw
Birmingham City,Everton,Fast,Little,Long,Organised,Risky,Lots,Lots,Organised,High,Double,Wide,Balanced,Little,Mixed,Organised,Normal,Lots,Normal,Organised,Medium,Double,Normal,draw
