season,away_team_api_id,home_team_api_id,H_overall_rating,A_overall_rating,H_potential,A_potential,H_buildUpPlaySpeedClass,H_buildUpPlayDribblingClass,H_buildUpPlayPassingClass,H_buildUpPlayPositioningClass,H_chanceCreationPassingClass,H_chanceCreationCrossingClass,H_chanceCreationShootingClass,H_chanceCreationPositioningClass,H_defencePressureClass,H_defenceAggressionClass,H_defenceTeamWidthClass,A_buildUpPlaySpeedClass,A_buildUpPlayDribblingClass,A_buildUpPlayPassingClass,A_buildUpPlayPositioningClass,A_chanceCreationPassingClass,A_chanceCreationCrossingClass,A_chanceCreationShootingClass,A_chanceCreationPositioningClass,A_defencePressureClass,A_defenceAggressionClass,A_defenceTeamWidthClass,result
2010/2011,8455,10194,810,907,872,963,2,1,3,2,1,3,2,2,1,3,2,2,1,2,1,2,2,3,1,2,3,2,1
2010/2011,8586,8528,795,863,869,898,2,1,2,2,2,2,2,2,2,3,2,2,1,2,1,3,3,3,2,1,3,2,1
2010/2011,8472,8456,872,830,948,888,3,1,2,2,3,2,3,1,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2010/2011,8483,9879,840,788,892,815,2,1,2,2,2,2,2,2,2,3,2,3,1,1,2,2,1,2,2,2,3,2,2
2010/2011,9879,10260,823.5613065,843,874.9220714,894,2,1,2,2,2,2,3,1,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2010/2011,8659,8472,820,801,875,855,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3
2010/2011,10194,8586,868,799,907,862,2,1,2,1,3,3,3,2,1,3,2,2,1,3,2,1,3,2,2,1,3,2,2
2010/2011,8668,8602,789,832,851,881,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,3,2,2,2,3,2,3
2010/2011,8658,8655,831,825,900,876,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,1,3,2,1
2010/2011,8654,8559,823.5613065,825,874.9220714,894,2,1,3,2,2,3,2,2,2,3,2,2,1,2,2,1,2,2,2,2,3,2,2
2010/2011,8528,8455,881,799,951,868,2,1,2,1,2,2,3,1,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2010/2011,10261,10252,851,802,920,859,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2010/2011,9825,8483,788,887,834,874.6768998,3,1,1,2,2,1,2,2,2,3,2,3,1,2,1,2,2,2,1,2,3,2,3
2010/2011,8456,8650,829,866,908,949,2,1,2,2,2,2,2,2,2,3,2,3,1,2,2,3,2,3,1,2,3,2,2
2010/2011,8528,8483,795,790,829,861,3,1,1,2,2,1,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3
2010/2011,10252,8654,805,863,890,913,2,1,2,2,1,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3
2010/2011,8655,8668,829,798,882,880,2,1,2,2,2,3,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2010/2011,8472,8658,820,818,876,888,2,1,2,2,2,2,2,2,1,3,2,2,1,2,2,2,2,2,2,2,3,2,2
