"","id","date_match","season","away_team_api_id","home_team_api_id","away_team_goal","home_team_goal","H_overall_rating","A_overall_rating","H_potential","A_potential","H_buildUpPlaySpeed","H_buildUpPlaySpeedClass","H_buildUpPlayDribblingClass","H_buildUpPlayPassing","H_buildUpPlayPassingClass","H_buildUpPlayPositioningClass","H_chanceCreationPassing","H_chanceCreationPassingClass","H_chanceCreationCrossing","H_chanceCreationCrossingClass","H_chanceCreationShooting","H_chanceCreationShootingClass","H_chanceCreationPositioningClass","H_defencePressure","H_defencePressureClass","H_defenceAggression","H_defenceAggressionClass","H_defenceTeamWidth","H_defenceTeamWidthClass","A_buildUpPlaySpeed","A_buildUpPlaySpeedClass","A_buildUpPlayDribblingClass","A_buildUpPlayPassing","A_buildUpPlayPassingClass","A_buildUpPlayPositioningClass","A_chanceCreationPassing","A_chanceCreationPassingClass","A_chanceCreationCrossing","A_chanceCreationCrossingClass","A_chanceCreationShooting","A_chanceCreationShootingClass","A_chanceCreationPositioningClass","A_defencePressure","A_defencePressureClass","A_defenceAggression","A_defenceAggressionClass","A_defenceTeamWidth","A_defenceTeamWidthClass","result"
"52",22397,"2010-09-11","2010/2011",8371,8633,0,1,903,817,973,863,55,"Balanced","Little",30,"Short","Free Form",70,"Risky",60,"Normal",70,"Lots","Free Form",65,"Medium",40,"Press",65,"Normal",35,"Balanced","Little",35,"Mixed","Organised",45,"Normal",65,"Normal",55,"Normal","Free Form",30,"Deep",65,"Press",55,"Normal","win"
"53",2815,"2010-09-12","2010/2011",8650,8658,0,0,836,881,885,927,70,"Fast","Little",70,"Long","Organised",70,"Risky",70,"Lots",70,"Lots","Organised",70,"High",70,"Double",70,"Wide",50,"Balanced","Little",35,"Mixed","Organised",50,"Normal",60,"Normal",70,"Lots","Organised",40,"Medium",60,"Press",40,"Normal","draw"
"54",22388,"2010-09-12","2010/2011",8661,9869,0,2,809,794,846,854,70,"Fast","Little",55,"Mixed","Organised",65,"Normal",50,"Normal",70,"Lots","Organised",70,"High",70,"Double",55,"Normal",40,"Balanced","Little",40,"Mixed","Organised",50,"Normal",40,"Normal",50,"Normal","Free Form",45,"Medium",40,"Press",45,"Normal","win"
"55",22392,"2010-09-12","2010/2011",9864,8394,5,3,798,NA,860,823,30,"Slow","Little",30,"Short","Free Form",50,"Normal",35,"Normal",70,"Lots","Organised",40,"Medium",30,"Contain",45,"Normal",60,"Balanced","Little",55,"Mixed","Organised",40,"Normal",45,"Normal",70,"Lots","Organised",45,"Medium",65,"Press",45,"Normal","lose"
"56",22393,"2010-09-12","2010/2011",9783,8302,0,0,866,824,924,884,30,"Slow","Little",30,"Short","Free Form",70,"Risky",60,"Normal",70,"Lots","Free Form",60,"Medium",70,"Double",65,"Normal",30,"Slow","Little",30,"Short","Organised",30,"Safe",45,"Normal",65,"Normal","Organised",35,"Medium",35,"Press",45,"Normal","draw"
"57",22394,"2010-09-12","2010/2011",8581,8305,1,4,802,772,883,837,30,"Slow","Little",35,"Mixed","Organised",35,"Normal",50,"Normal",70,"Lots","Free Form",40,"Medium",30,"Contain",50,"Normal",30,"Slow","Little",30,"Short","Organised",45,"Normal",40,"Normal",70,"Lots","Organised",30,"Deep",35,"Press",50,"Normal","win"
"58",22395,"2010-09-12","2010/2011",8558,10205,0,4,851,802,914,873,64,"Balanced","Little",30,"Short","Free Form",55,"Normal",35,"Normal",70,"Lots","Free Form",65,"Medium",30,"Contain",70,"Wide",55,"Balanced","Little",40,"Mixed","Organised",70,"Risky",55,"Normal",70,"Lots","Organised",70,"High",50,"Press",60,"Normal","win"
"59",2817,"2010-09-13","2010/2011",10252,10194,1,2,802,870,860,916,65,"Balanced","Little",70,"Long","Organised",70,"Risky",70,"Lots",55,"Normal","Organised",35,"Medium",70,"Double",35,"Normal",70,"Fast","Little",59,"Mixed","Organised",65,"Normal",70,"Lots",50,"Normal","Free Form",30,"Deep",70,"Double",30,"Narrow","win"
"60",22396,"2010-09-13","2010/2011",8560,9865,2,2,806,759,866,815,65,"Balanced","Little",45,"Mixed","Organised",45,"Normal",45,"Normal",70,"Lots","Organised",70,"High",65,"Press",30,"Narrow",40,"Balanced","Little",30,"Short","Free Form",50,"Normal",40,"Normal",70,"Lots","Organised",45,"Medium",30,"Contain",35,"Normal","draw"
"61",2820,"2010-09-18","2010/2011",9825,8472,1,1,794,882,889,954,60,"Balanced","Little",70,"Long","Organised",70,"Risky",70,"Lots",55,"Normal","Organised",35,"Medium",70,"Double",35,"Normal",66,"Balanced","Little",30,"Short","Free Form",30,"Safe",45,"Normal",35,"Normal","Free Form",30,"Deep",40,"Press",50,"Normal","draw"
