team.home,away.team,H_buildUpPlaySpeedClass,H_buildUpPlayDribblingClass,H_buildUpPlayPassingClass,H_buildUpPlayPositioningClass,H_chanceCreationPassingClass,H_chanceCreationCrossingClass,H_chanceCreationShootingClass,H_chanceCreationPositioningClass,H_defencePressureClass,H_defenceAggressionClass,H_defenceTeamWidthClass,A_buildUpPlaySpeedClass,A_buildUpPlayDribblingClass,A_buildUpPlayPassingClass,A_buildUpPlayPositioningClass,A_chanceCreationPassingClass,A_chanceCreationCrossingClass,A_chanceCreationShootingClass,A_chanceCreationPositioningClass,A_defencePressureClass,A_defenceAggressionClass,A_defenceTeamWidthClass,result
28,6,2,1,2,2,1,3,3,2,3,3,2,1,1,1,2,2,2,3,2,3,2,2,2
13,31,1,1,1,2,2,2,3,2,3,3,2,1,1,3,2,3,2,3,2,1,2,1,2
16,10,1,1,2,2,1,3,2,2,3,3,2,2,1,2,1,1,2,2,1,1,3,2,3
26,18,1,1,1,2,2,2,3,2,3,2,2,2,1,2,2,1,2,3,1,3,3,2,3
4,1,1,1,1,2,1,2,3,2,3,2,2,1,1,3,1,3,3,3,1,1,3,2,2
32,14,2,1,1,2,2,2,3,2,3,2,2,1,1,2,2,2,2,3,2,2,2,3,1
13,25,1,1,1,2,2,2,3,2,3,3,2,1,1,1,2,2,2,3,2,3,2,2,3
17,28,2,1,2,2,1,2,2,2,3,3,2,2,1,2,2,1,3,3,2,3,3,2,3
1,13,1,1,3,1,3,3,3,1,1,3,2,1,1,1,2,2,2,3,2,3,3,2,2
2,4,2,1,2,2,1,2,3,1,1,2,1,1,1,1,2,1,2,3,2,3,2,2,3
6,3,1,1,1,2,2,2,3,2,3,2,2,2,1,1,2,2,2,2,2,2,2,3,2
8,28,2,1,2,2,2,2,2,2,3,2,3,2,1,2,2,1,3,3,2,3,3,2,2
10,32,2,1,2,1,1,2,2,1,1,3,2,2,1,1,2,2,2,3,2,3,2,2,2
12,21,1,1,2,2,1,2,3,2,3,2,2,2,1,1,2,2,2,3,2,3,2,2,2
14,16,1,1,2,2,2,2,3,2,2,2,3,1,1,2,2,1,3,2,2,3,3,2,1
18,25,2,1,2,2,1,2,3,1,3,3,2,1,1,1,2,2,2,3,2,3,2,2,2
31,17,1,1,3,2,3,2,3,2,1,2,1,2,1,2,2,1,2,2,2,3,3,2,1
33,26,2,1,1,2,2,2,2,2,2,2,3,1,1,1,2,2,2,3,2,3,2,2,2
2,31,2,1,2,2,1,2,3,1,1,2,1,1,1,3,2,3,2,3,2,1,2,1,2
4,12,1,1,1,2,1,2,3,2,3,2,2,1,1,2,2,1,2,3,2,3,2,2,2
6,13,1,1,1,2,2,2,3,2,3,2,2,1,1,1,2,2,2,3,2,3,3,2,1
10,30,2,1,2,1,1,2,2,1,1,3,2,1,1,2,2,2,2,3,2,2,2,3,2
26,3,1,1,1,2,2,2,3,2,3,2,2,2,1,1,2,2,2,2,2,2,2,3,1
28,17,2,1,2,2,1,3,3,2,3,3,2,2,1,2,2,1,2,2,2,3,3,2,1
32,5,2,1,1,2,2,2,3,2,3,2,2,2,1,1,2,2,2,3,2,2,2,3,3
33,25,2,1,1,2,2,2,2,2,2,2,3,1,1,1,2,2,2,3,2,3,2,2,2
